"","FIRMS_19_lat","FIRMS_19_lng","FIRMS_19_cf","FIRMS_19_aq","dist_between","no","postal_code","LGA","ato_flag"
"1",-33.79284,150.46704,"h","2/02/2020",13.80147428,3518,2774,"Blue Mountains","Y"
"2",-33.79284,150.46704,"h","2/02/2020",13.22165338,5912,2782,"Blue Mountains","Y"
"3",-33.79284,150.46704,"h","2/02/2020",13.8593721,7200,2777,"Blue Mountains","Y"
"4",-33.79284,150.46704,"h","2/02/2020",13.62803643,8449,2745,"Wollondilly","Y"
"5",-33.79284,150.46704,"h","2/02/2020",13.40576449,8547,2777,"Blue Mountains","Y"
"6",-33.79284,150.46704,"h","2/02/2020",13.29090762,8892,2777,"Blue Mountains","Y"
"7",-33.79284,150.46704,"h","2/02/2020",11.6589067,10747,2782,"Blue Mountains","Y"
"8",-33.79284,150.46704,"h","2/02/2020",14.15539172,11945,2777,"Blue Mountains","Y"
"9",-33.79284,150.46704,"h","2/02/2020",13.70402669,11951,2782,"Blue Mountains","Y"
"10",-33.79284,150.46704,"h","2/02/2020",14.8174688,12274,2776,"Blue Mountains","Y"
"11",-33.79284,150.46704,"h","2/02/2020",13.4148593,17042,2780,"Blue Mountains","Y"
"12",-33.79284,150.46704,"h","2/02/2020",8.714162258,23295,2783,"Blue Mountains","Y"
"13",-33.79284,150.46704,"h","2/02/2020",14.44406726,24102,2774,"Blue Mountains","Y"
"14",-33.79284,150.46704,"h","2/02/2020",13.05991382,26562,2782,"Blue Mountains","Y"
"15",-33.79284,150.46704,"h","2/02/2020",13.25847044,28579,2776,"Blue Mountains","Y"
"16",-33.83045,150.43869,"h","2/02/2020",13.43901071,10747,2782,"Blue Mountains","Y"
"17",-33.83045,150.43869,"h","2/02/2020",14.27322368,17042,2780,"Blue Mountains","Y"
"18",-33.83045,150.43869,"h","2/02/2020",12.43587734,23295,2783,"Blue Mountains","Y"
"19",-33.8291,150.45372,"h","2/02/2020",13.6786278,8449,2745,"Wollondilly","Y"
"20",-33.8291,150.45372,"h","2/02/2020",13.98815135,10747,2782,"Blue Mountains","Y"
"21",-33.8291,150.45372,"h","2/02/2020",12.38531143,23295,2783,"Blue Mountains","Y"
"22",-33.83398,150.44891,"h","2/02/2020",14.06227915,8449,2745,"Wollondilly","Y"
"23",-33.83398,150.44891,"h","2/02/2020",14.22910652,10747,2782,"Blue Mountains","Y"
"24",-33.83398,150.44891,"h","2/02/2020",12.87747607,23295,2783,"Blue Mountains","Y"
"25",-33.83352,150.45404,"h","2/02/2020",13.59446562,8449,2745,"Wollondilly","Y"
"26",-33.83352,150.45404,"h","2/02/2020",14.42316165,10747,2782,"Blue Mountains","Y"
"27",-33.83352,150.45404,"h","2/02/2020",12.87713989,23295,2783,"Blue Mountains","Y"
"28",-33.83261,150.46408,"h","2/02/2020",14.50771204,2914,2752,"Wollondilly","Y"
"29",-33.83261,150.46408,"h","2/02/2020",12.68100221,8449,2745,"Wollondilly","Y"
"30",-33.83261,150.46408,"h","2/02/2020",14.83921223,10747,2782,"Blue Mountains","Y"
"31",-33.83261,150.46408,"h","2/02/2020",12.9265464,23295,2783,"Blue Mountains","Y"
"32",-33.83218,150.46883,"h","2/02/2020",14.12724782,2914,2752,"Wollondilly","Y"
"33",-33.83218,150.46883,"h","2/02/2020",12.24989243,8449,2745,"Wollondilly","Y"
"34",-33.83218,150.46883,"h","2/02/2020",14.98063694,20678,2752,"Wollondilly","Y"
"35",-33.83218,150.46883,"h","2/02/2020",12.9733928,23295,2783,"Blue Mountains","Y"
"36",-33.83218,150.46883,"h","2/02/2020",14.89457014,26540,2752,"Wollondilly","Y"
"37",-33.83218,150.46883,"h","2/02/2020",14.95934227,28329,2752,"Wollondilly","Y"
"38",-33.83841,150.44922,"h","2/02/2020",13.9994371,8449,2745,"Wollondilly","Y"
"39",-33.83841,150.44922,"h","2/02/2020",14.67484315,10747,2782,"Blue Mountains","Y"
"40",-33.83841,150.44922,"h","2/02/2020",13.37123659,23295,2783,"Blue Mountains","Y"
"41",-33.83748,150.45947,"h","2/02/2020",14.69305558,2914,2752,"Wollondilly","Y"
"42",-33.83748,150.45947,"h","2/02/2020",13.0592331,8449,2745,"Wollondilly","Y"
"43",-33.83748,150.45947,"h","2/02/2020",13.38463731,23295,2783,"Blue Mountains","Y"
"44",-33.83703,150.4644,"h","2/02/2020",14.28807322,2914,2752,"Wollondilly","Y"
"45",-33.83703,150.4644,"h","2/02/2020",12.60773456,8449,2745,"Wollondilly","Y"
"46",-33.83703,150.4644,"h","2/02/2020",13.4149714,23295,2783,"Blue Mountains","Y"
"47",-33.83703,150.4644,"h","2/02/2020",14.98861918,26540,2752,"Wollondilly","Y"
"48",-33.79539,150.48706,"h","2/02/2020",14.98177886,2914,2752,"Wollondilly","Y"
"49",-33.79539,150.48706,"h","2/02/2020",12.20482066,3518,2774,"Blue Mountains","Y"
"50",-33.79539,150.48706,"h","2/02/2020",14.6716144,5912,2782,"Blue Mountains","Y"
"51",-33.79539,150.48706,"h","2/02/2020",12.93586447,7200,2777,"Blue Mountains","Y"
"52",-33.79539,150.48706,"h","2/02/2020",11.8430481,8449,2745,"Wollondilly","Y"
"53",-33.79539,150.48706,"h","2/02/2020",12.55908769,8547,2777,"Blue Mountains","Y"
"54",-33.79539,150.48706,"h","2/02/2020",12.38070172,8892,2777,"Blue Mountains","Y"
"55",-33.79539,150.48706,"h","2/02/2020",13.26225126,10747,2782,"Blue Mountains","Y"
"56",-33.79539,150.48706,"h","2/02/2020",12.94677621,11945,2777,"Blue Mountains","Y"
"57",-33.79539,150.48706,"h","2/02/2020",14.08945527,12274,2776,"Blue Mountains","Y"
"58",-33.79539,150.48706,"h","2/02/2020",14.19101955,12376,2774,"Blue Mountains","Y"
"59",-33.79539,150.48706,"h","2/02/2020",9.723986595,23295,2783,"Blue Mountains","Y"
"60",-33.79539,150.48706,"h","2/02/2020",12.90365012,24102,2774,"Blue Mountains","Y"
"61",-33.79539,150.48706,"h","2/02/2020",14.49590979,26562,2782,"Blue Mountains","Y"
"62",-33.79539,150.48706,"h","2/02/2020",12.76265322,28579,2776,"Blue Mountains","Y"
"63",-33.79977,150.48763,"h","2/02/2020",14.62023506,2914,2752,"Wollondilly","Y"
"64",-33.79977,150.48763,"h","2/02/2020",12.37242716,3518,2774,"Blue Mountains","Y"
"65",-33.79977,150.48763,"h","2/02/2020",13.31064381,7200,2777,"Blue Mountains","Y"
"66",-33.79977,150.48763,"h","2/02/2020",11.57659163,8449,2745,"Wollondilly","Y"
"67",-33.79977,150.48763,"h","2/02/2020",12.94911143,8547,2777,"Blue Mountains","Y"
"68",-33.79977,150.48763,"h","2/02/2020",12.75910994,8892,2777,"Blue Mountains","Y"
"69",-33.79977,150.48763,"h","2/02/2020",13.60677861,10747,2782,"Blue Mountains","Y"
"70",-33.79977,150.48763,"h","2/02/2020",13.25467315,11945,2777,"Blue Mountains","Y"
"71",-33.79977,150.48763,"h","2/02/2020",14.49733943,12274,2776,"Blue Mountains","Y"
"72",-33.79977,150.48763,"h","2/02/2020",14.36097515,12376,2774,"Blue Mountains","Y"
"73",-33.79977,150.48763,"h","2/02/2020",10.17876228,23295,2783,"Blue Mountains","Y"
"74",-33.79977,150.48763,"h","2/02/2020",13.09622826,24102,2774,"Blue Mountains","Y"
"75",-33.79977,150.48763,"h","2/02/2020",14.88751238,26562,2782,"Blue Mountains","Y"
"76",-33.79977,150.48763,"h","2/02/2020",13.20444878,28579,2776,"Blue Mountains","Y"
"77",-33.81188,150.45393,"h","2/02/2020",14.27073371,5912,2782,"Blue Mountains","Y"
"78",-33.81188,150.45393,"h","2/02/2020",14.03618985,8449,2745,"Wollondilly","Y"
"79",-33.81188,150.45393,"h","2/02/2020",12.41508826,10747,2782,"Blue Mountains","Y"
"80",-33.81188,150.45393,"h","2/02/2020",14.78287448,11951,2782,"Blue Mountains","Y"
"81",-33.81188,150.45393,"h","2/02/2020",13.71899808,17042,2780,"Blue Mountains","Y"
"82",-33.81188,150.45393,"h","2/02/2020",10.48986472,23295,2783,"Blue Mountains","Y"
"83",-33.81188,150.45393,"h","2/02/2020",14.13817182,26562,2782,"Blue Mountains","Y"
"84",-33.82944,150.45645,"h","2/02/2020",13.42340435,8449,2745,"Wollondilly","Y"
"85",-33.82944,150.45645,"h","2/02/2020",14.15524441,10747,2782,"Blue Mountains","Y"
"86",-33.82944,150.45645,"h","2/02/2020",12.45749331,23295,2783,"Blue Mountains","Y"
"87",-33.82804,150.47098,"h","2/02/2020",14.14888975,2914,2752,"Wollondilly","Y"
"88",-33.82804,150.47098,"h","2/02/2020",12.11533727,8449,2745,"Wollondilly","Y"
"89",-33.82804,150.47098,"h","2/02/2020",14.80108555,10747,2782,"Blue Mountains","Y"
"90",-33.82804,150.47098,"h","2/02/2020",12.57408215,23295,2783,"Blue Mountains","Y"
"91",-33.82804,150.47098,"h","2/02/2020",14.96544418,26540,2752,"Wollondilly","Y"
"92",-33.79127,150.43645,"h","2/02/2020",11.47675872,5912,2782,"Blue Mountains","Y"
"93",-33.79127,150.43645,"h","2/02/2020",14.65359272,6662,2780,"Blue Mountains","Y"
"94",-33.79127,150.43645,"h","2/02/2020",13.7712379,7066,2780,"Blue Mountains","Y"
"95",-33.79127,150.43645,"h","2/02/2020",12.85613417,8789,2780,"Blue Mountains","Y"
"96",-33.79127,150.43645,"h","2/02/2020",12.62425969,9658,2780,"Blue Mountains","Y"
"97",-33.79127,150.43645,"h","2/02/2020",9.609580373,10747,2782,"Blue Mountains","Y"
"98",-33.79127,150.43645,"h","2/02/2020",14.51760017,11856,2780,"Blue Mountains","Y"
"99",-33.79127,150.43645,"h","2/02/2020",11.9920302,11951,2782,"Blue Mountains","Y"
"100",-33.79127,150.43645,"h","2/02/2020",13.32091755,13137,2780,"Blue Mountains","Y"
"101",-33.79127,150.43645,"h","2/02/2020",14.42202722,13757,2780,"Blue Mountains","Y"
"102",-33.79127,150.43645,"h","2/02/2020",13.53582888,14981,2780,"Blue Mountains","Y"
"103",-33.79127,150.43645,"h","2/02/2020",10.99937975,17042,2780,"Blue Mountains","Y"
"104",-33.79127,150.43645,"h","2/02/2020",8.072966079,23295,2783,"Blue Mountains","Y"
"105",-33.79127,150.43645,"h","2/02/2020",11.34861377,26562,2782,"Blue Mountains","Y"
"106",-33.79127,150.43645,"h","2/02/2020",14.662362,28579,2776,"Blue Mountains","Y"
"107",-33.7908,150.44138,"h","2/02/2020",11.66021316,5912,2782,"Blue Mountains","Y"
"108",-33.7908,150.44138,"h","2/02/2020",14.97896795,6662,2780,"Blue Mountains","Y"
"109",-33.7908,150.44138,"h","2/02/2020",14.09174684,7066,2780,"Blue Mountains","Y"
"110",-33.7908,150.44138,"h","2/02/2020",14.86378041,8547,2777,"Blue Mountains","Y"
"111",-33.7908,150.44138,"h","2/02/2020",13.18852563,8789,2780,"Blue Mountains","Y"
"112",-33.7908,150.44138,"h","2/02/2020",14.81635569,8892,2777,"Blue Mountains","Y"
"113",-33.7908,150.44138,"h","2/02/2020",12.96427473,9658,2780,"Blue Mountains","Y"
"114",-33.7908,150.44138,"h","2/02/2020",9.851412063,10747,2782,"Blue Mountains","Y"
"115",-33.7908,150.44138,"h","2/02/2020",14.8712533,11856,2780,"Blue Mountains","Y"
"116",-33.7908,150.44138,"h","2/02/2020",12.17021659,11951,2782,"Blue Mountains","Y"
"117",-33.7908,150.44138,"h","2/02/2020",13.68050102,13137,2780,"Blue Mountains","Y"
"118",-33.7908,150.44138,"h","2/02/2020",14.77338934,13757,2780,"Blue Mountains","Y"
"119",-33.7908,150.44138,"h","2/02/2020",13.89265357,14981,2780,"Blue Mountains","Y"
"120",-33.7908,150.44138,"h","2/02/2020",11.32676247,17042,2780,"Blue Mountains","Y"
"121",-33.7908,150.44138,"h","2/02/2020",8.032569972,23295,2783,"Blue Mountains","Y"
"122",-33.7908,150.44138,"h","2/02/2020",11.52497302,26562,2782,"Blue Mountains","Y"
"123",-33.7908,150.44138,"h","2/02/2020",14.34313042,28579,2776,"Blue Mountains","Y"
"124",-33.79034,150.44632,"h","2/02/2020",11.86007073,5912,2782,"Blue Mountains","Y"
"125",-33.79034,150.44632,"h","2/02/2020",14.42117709,7066,2780,"Blue Mountains","Y"
"126",-33.79034,150.44632,"h","2/02/2020",14.49772453,8547,2777,"Blue Mountains","Y"
"127",-33.79034,150.44632,"h","2/02/2020",13.52974478,8789,2780,"Blue Mountains","Y"
"128",-33.79034,150.44632,"h","2/02/2020",14.44076269,8892,2777,"Blue Mountains","Y"
"129",-33.79034,150.44632,"h","2/02/2020",13.31284315,9658,2780,"Blue Mountains","Y"
"130",-33.79034,150.44632,"h","2/02/2020",10.10978593,10747,2782,"Blue Mountains","Y"
"131",-33.79034,150.44632,"h","2/02/2020",12.36434767,11951,2782,"Blue Mountains","Y"
"132",-33.79034,150.44632,"h","2/02/2020",14.04725965,13137,2780,"Blue Mountains","Y"
"133",-33.79034,150.44632,"h","2/02/2020",14.25671178,14981,2780,"Blue Mountains","Y"
"134",-33.79034,150.44632,"h","2/02/2020",11.6644467,17042,2780,"Blue Mountains","Y"
"135",-33.79034,150.44632,"h","2/02/2020",8.019529672,23295,2783,"Blue Mountains","Y"
"136",-33.79034,150.44632,"h","2/02/2020",11.71813217,26562,2782,"Blue Mountains","Y"
"137",-33.79034,150.44632,"h","2/02/2020",14.0320428,28579,2776,"Blue Mountains","Y"
"138",-33.83436,150.45163,"h","2/02/2020",13.80805867,8449,2745,"Wollondilly","Y"
"139",-33.83436,150.45163,"h","2/02/2020",14.3904018,10747,2782,"Blue Mountains","Y"
"140",-33.83436,150.45163,"h","2/02/2020",12.94414296,23295,2783,"Blue Mountains","Y"
"141",-33.83387,150.45677,"h","2/02/2020",13.33949824,8449,2745,"Wollondilly","Y"
"142",-33.83387,150.45677,"h","2/02/2020",14.58800072,10747,2782,"Blue Mountains","Y"
"143",-33.83387,150.45677,"h","2/02/2020",12.94969582,23295,2783,"Blue Mountains","Y"
"144",-33.78988,150.45122,"h","2/02/2020",12.07203744,5912,2782,"Blue Mountains","Y"
"145",-33.78988,150.45122,"h","2/02/2020",14.75460861,7066,2780,"Blue Mountains","Y"
"146",-33.78988,150.45122,"h","2/02/2020",14.64549458,7200,2777,"Blue Mountains","Y"
"147",-33.78988,150.45122,"h","2/02/2020",14.13976504,8547,2777,"Blue Mountains","Y"
"148",-33.78988,150.45122,"h","2/02/2020",13.87475646,8789,2780,"Blue Mountains","Y"
"149",-33.78988,150.45122,"h","2/02/2020",14.07288245,8892,2777,"Blue Mountains","Y"
"150",-33.78988,150.45122,"h","2/02/2020",13.66488984,9658,2780,"Blue Mountains","Y"
"151",-33.78988,150.45122,"h","2/02/2020",10.37957121,10747,2782,"Blue Mountains","Y"
"152",-33.78988,150.45122,"h","2/02/2020",12.57025092,11951,2782,"Blue Mountains","Y"
"153",-33.78988,150.45122,"h","2/02/2020",14.41613806,13137,2780,"Blue Mountains","Y"
"154",-33.78988,150.45122,"h","2/02/2020",14.622967,14981,2780,"Blue Mountains","Y"
"155",-33.78988,150.45122,"h","2/02/2020",12.00720139,17042,2780,"Blue Mountains","Y"
"156",-33.78988,150.45122,"h","2/02/2020",8.032239951,23295,2783,"Blue Mountains","Y"
"157",-33.78988,150.45122,"h","2/02/2020",11.9238444,26562,2782,"Blue Mountains","Y"
"158",-33.78988,150.45122,"h","2/02/2020",13.73140131,28579,2776,"Blue Mountains","Y"
"159",-33.78941,150.45619,"h","2/02/2020",14.62243248,3518,2774,"Blue Mountains","Y"
"160",-33.78941,150.45619,"h","2/02/2020",12.30030847,5912,2782,"Blue Mountains","Y"
"161",-33.78941,150.45619,"h","2/02/2020",14.27704138,7200,2777,"Blue Mountains","Y"
"162",-33.78941,150.45619,"h","2/02/2020",14.69910722,8449,2745,"Wollondilly","Y"
"163",-33.78941,150.45619,"h","2/02/2020",13.78235738,8547,2777,"Blue Mountains","Y"
"164",-33.78941,150.45619,"h","2/02/2020",14.23090405,8789,2780,"Blue Mountains","Y"
"165",-33.78941,150.45619,"h","2/02/2020",13.70491814,8892,2777,"Blue Mountains","Y"
"166",-33.78941,150.45619,"h","2/02/2020",14.0279155,9658,2780,"Blue Mountains","Y"
"167",-33.78941,150.45619,"h","2/02/2020",10.66593296,10747,2782,"Blue Mountains","Y"
"168",-33.78941,150.45619,"h","2/02/2020",14.7377385,11945,2777,"Blue Mountains","Y"
"169",-33.78941,150.45619,"h","2/02/2020",12.79204898,11951,2782,"Blue Mountains","Y"
"170",-33.78941,150.45619,"h","2/02/2020",14.79509745,13137,2780,"Blue Mountains","Y"
"171",-33.78941,150.45619,"h","2/02/2020",14.99932623,14981,2780,"Blue Mountains","Y"
"172",-33.78941,150.45619,"h","2/02/2020",12.36215485,17042,2780,"Blue Mountains","Y"
"173",-33.78941,150.45619,"h","2/02/2020",8.071145558,23295,2783,"Blue Mountains","Y"
"174",-33.78941,150.45619,"h","2/02/2020",12.1461607,26562,2782,"Blue Mountains","Y"
"175",-33.78941,150.45619,"h","2/02/2020",13.43511428,28579,2776,"Blue Mountains","Y"
"176",-33.83879,150.4519,"h","2/02/2020",13.74980362,8449,2745,"Wollondilly","Y"
"177",-33.83879,150.4519,"h","2/02/2020",14.83137351,10747,2782,"Blue Mountains","Y"
"178",-33.83879,150.4519,"h","2/02/2020",13.43715304,23295,2783,"Blue Mountains","Y"
"179",-33.8378,150.46213,"h","2/02/2020",14.45106032,2914,2752,"Wollondilly","Y"
"180",-33.8378,150.46213,"h","2/02/2020",12.81152751,8449,2745,"Wollondilly","Y"
"181",-33.8378,150.46213,"h","2/02/2020",13.4607365,23295,2783,"Blue Mountains","Y"
"182",-33.83734,150.4669,"h","2/02/2020",14.06105627,2914,2752,"Wollondilly","Y"
"183",-33.83734,150.4669,"h","2/02/2020",12.37474263,8449,2745,"Wollondilly","Y"
"184",-33.83734,150.4669,"h","2/02/2020",14.84858564,20678,2752,"Wollondilly","Y"
"185",-33.83734,150.4669,"h","2/02/2020",13.49491963,23295,2783,"Blue Mountains","Y"
"186",-33.83734,150.4669,"h","2/02/2020",14.76842006,26540,2752,"Wollondilly","Y"
"187",-33.83734,150.4669,"h","2/02/2020",14.93603468,27701,2752,"Wollondilly","Y"
"188",-33.83734,150.4669,"h","2/02/2020",14.82967464,28329,2752,"Wollondilly","Y"
"189",-33.81081,150.44069,"h","1/02/2020",13.58747191,5912,2782,"Blue Mountains","Y"
"190",-33.81081,150.44069,"h","1/02/2020",14.57370526,8789,2780,"Blue Mountains","Y"
"191",-33.81081,150.44069,"h","1/02/2020",14.31069548,9658,2780,"Blue Mountains","Y"
"192",-33.81081,150.44069,"h","1/02/2020",11.62300921,10747,2782,"Blue Mountains","Y"
"193",-33.81081,150.44069,"h","1/02/2020",14.10909014,11951,2782,"Blue Mountains","Y"
"194",-33.81081,150.44069,"h","1/02/2020",14.90927974,13137,2780,"Blue Mountains","Y"
"195",-33.81081,150.44069,"h","1/02/2020",12.7506614,17042,2780,"Blue Mountains","Y"
"196",-33.81081,150.44069,"h","1/02/2020",10.25494993,23295,2783,"Blue Mountains","Y"
"197",-33.81081,150.44069,"h","1/02/2020",13.46955152,26562,2782,"Blue Mountains","Y"
"198",-33.82294,150.45093,"h","1/02/2020",14.0378148,8449,2745,"Wollondilly","Y"
"199",-33.82294,150.45093,"h","1/02/2020",13.27059019,10747,2782,"Blue Mountains","Y"
"200",-33.82294,150.45093,"h","1/02/2020",14.37937393,17042,2780,"Blue Mountains","Y"
"201",-33.82294,150.45093,"h","1/02/2020",11.67347932,23295,2783,"Blue Mountains","Y"
"202",-33.82154,150.4425,"h","1/02/2020",14.73889304,5912,2782,"Blue Mountains","Y"
"203",-33.82154,150.4425,"h","1/02/2020",14.83267233,8449,2745,"Wollondilly","Y"
"204",-33.82154,150.4425,"h","1/02/2020",12.73232482,10747,2782,"Blue Mountains","Y"
"205",-33.82154,150.4425,"h","1/02/2020",13.73666753,17042,2780,"Blue Mountains","Y"
"206",-33.82154,150.4425,"h","1/02/2020",11.4553899,23295,2783,"Blue Mountains","Y"
"207",-33.82154,150.4425,"h","1/02/2020",14.62603546,26562,2782,"Blue Mountains","Y"
"208",-33.8203,150.45593,"h","1/02/2020",13.63880274,8449,2745,"Wollondilly","Y"
"209",-33.8203,150.45593,"h","1/02/2020",13.28332366,10747,2782,"Blue Mountains","Y"
"210",-33.8203,150.45593,"h","1/02/2020",14.4952381,17042,2780,"Blue Mountains","Y"
"211",-33.8203,150.45593,"h","1/02/2020",11.44449147,23295,2783,"Blue Mountains","Y"
"212",-33.8196,150.45174,"h","1/02/2020",14.92334355,5912,2782,"Blue Mountains","Y"
"213",-33.8196,150.45174,"h","1/02/2020",14.03406138,8449,2745,"Wollondilly","Y"
"214",-33.8196,150.45174,"h","1/02/2020",13.00032507,10747,2782,"Blue Mountains","Y"
"215",-33.8196,150.45174,"h","1/02/2020",14.165082,17042,2780,"Blue Mountains","Y"
"216",-33.8196,150.45174,"h","1/02/2020",11.31315184,23295,2783,"Blue Mountains","Y"
"217",-33.8196,150.45174,"h","1/02/2020",14.79871635,26562,2782,"Blue Mountains","Y"
"218",-33.80747,150.44151,"h","1/02/2020",13.28873016,5912,2782,"Blue Mountains","Y"
"219",-33.80747,150.44151,"h","1/02/2020",14.37585877,8789,2780,"Blue Mountains","Y"
"220",-33.80747,150.44151,"h","1/02/2020",14.1194174,9658,2780,"Blue Mountains","Y"
"221",-33.80747,150.44151,"h","1/02/2020",11.35198374,10747,2782,"Blue Mountains","Y"
"222",-33.80747,150.44151,"h","1/02/2020",13.80836758,11951,2782,"Blue Mountains","Y"
"223",-33.80747,150.44151,"h","1/02/2020",14.73953098,13137,2780,"Blue Mountains","Y"
"224",-33.80747,150.44151,"h","1/02/2020",14.9645867,14981,2780,"Blue Mountains","Y"
"225",-33.80747,150.44151,"h","1/02/2020",12.54355634,17042,2780,"Blue Mountains","Y"
"226",-33.80747,150.44151,"h","1/02/2020",9.886562221,23295,2783,"Blue Mountains","Y"
"227",-33.80747,150.44151,"h","1/02/2020",13.16732955,26562,2782,"Blue Mountains","Y"
"228",-33.8182,150.4433,"h","1/02/2020",14.43329941,5912,2782,"Blue Mountains","Y"
"229",-33.8182,150.4433,"h","1/02/2020",14.8300243,8449,2745,"Wollondilly","Y"
"230",-33.8182,150.4433,"h","1/02/2020",12.44984432,10747,2782,"Blue Mountains","Y"
"231",-33.8182,150.4433,"h","1/02/2020",14.95596895,11951,2782,"Blue Mountains","Y"
"232",-33.8182,150.4433,"h","1/02/2020",13.51149736,17042,2780,"Blue Mountains","Y"
"233",-33.8182,150.4433,"h","1/02/2020",11.08787592,23295,2783,"Blue Mountains","Y"
"234",-33.8182,150.4433,"h","1/02/2020",14.31732286,26562,2782,"Blue Mountains","Y"
"235",-33.8175,150.4391,"h","1/02/2020",14.19944779,5912,2782,"Blue Mountains","Y"
"236",-33.8175,150.4391,"h","1/02/2020",14.99442085,8789,2780,"Blue Mountains","Y"
"237",-33.8175,150.4391,"h","1/02/2020",14.71923617,9658,2780,"Blue Mountains","Y"
"238",-33.8175,150.4391,"h","1/02/2020",12.18571567,10747,2782,"Blue Mountains","Y"
"239",-33.8175,150.4391,"h","1/02/2020",14.72434742,11951,2782,"Blue Mountains","Y"
"240",-33.8175,150.4391,"h","1/02/2020",13.19182195,17042,2780,"Blue Mountains","Y"
"241",-33.8175,150.4391,"h","1/02/2020",10.9951956,23295,2783,"Blue Mountains","Y"
"242",-33.8175,150.4391,"h","1/02/2020",14.08807831,26562,2782,"Blue Mountains","Y"
"243",-33.8168,150.43489,"h","1/02/2020",13.97257006,5912,2782,"Blue Mountains","Y"
"244",-33.8168,150.43489,"h","1/02/2020",14.66981206,8789,2780,"Blue Mountains","Y"
"245",-33.8168,150.43489,"h","1/02/2020",14.39044248,9658,2780,"Blue Mountains","Y"
"246",-33.8168,150.43489,"h","1/02/2020",11.92847055,10747,2782,"Blue Mountains","Y"
"247",-33.8168,150.43489,"h","1/02/2020",14.4995103,11951,2782,"Blue Mountains","Y"
"248",-33.8168,150.43489,"h","1/02/2020",14.93295655,13137,2780,"Blue Mountains","Y"
"249",-33.8168,150.43489,"h","1/02/2020",12.87580276,17042,2780,"Blue Mountains","Y"
"250",-33.8168,150.43489,"h","1/02/2020",10.91614502,23295,2783,"Blue Mountains","Y"
"251",-33.8168,150.43489,"h","1/02/2020",13.86603084,26562,2782,"Blue Mountains","Y"
"252",-33.8161,150.43071,"h","1/02/2020",13.75444576,5912,2782,"Blue Mountains","Y"
"253",-33.8161,150.43071,"h","1/02/2020",14.35071863,8789,2780,"Blue Mountains","Y"
"254",-33.8161,150.43071,"h","1/02/2020",14.06708111,9658,2780,"Blue Mountains","Y"
"255",-33.8161,150.43071,"h","1/02/2020",11.68032701,10747,2782,"Blue Mountains","Y"
"256",-33.8161,150.43071,"h","1/02/2020",14.28319198,11951,2782,"Blue Mountains","Y"
"257",-33.8161,150.43071,"h","1/02/2020",14.59506762,13137,2780,"Blue Mountains","Y"
"258",-33.8161,150.43071,"h","1/02/2020",14.82936828,14981,2780,"Blue Mountains","Y"
"259",-33.8161,150.43071,"h","1/02/2020",12.56616895,17042,2780,"Blue Mountains","Y"
"260",-33.8161,150.43071,"h","1/02/2020",10.85093397,23295,2783,"Blue Mountains","Y"
"261",-33.8161,150.43071,"h","1/02/2020",13.65291356,26562,2782,"Blue Mountains","Y"
"262",-33.81625,150.4525,"h","1/02/2020",14.62867917,5912,2782,"Blue Mountains","Y"
"263",-33.81625,150.4525,"h","1/02/2020",14.04530666,8449,2745,"Wollondilly","Y"
"264",-33.81625,150.4525,"h","1/02/2020",12.73206332,10747,2782,"Blue Mountains","Y"
"265",-33.81625,150.4525,"h","1/02/2020",13.95370756,17042,2780,"Blue Mountains","Y"
"266",-33.81625,150.4525,"h","1/02/2020",10.95238158,23295,2783,"Blue Mountains","Y"
"267",-33.81625,150.4525,"h","1/02/2020",14.50087873,26562,2782,"Blue Mountains","Y"
"268",-33.81555,150.44829,"h","1/02/2020",14.37574278,5912,2782,"Blue Mountains","Y"
"269",-33.81555,150.44829,"h","1/02/2020",14.44220313,8449,2745,"Wollondilly","Y"
"270",-33.81555,150.44829,"h","1/02/2020",12.44820276,10747,2782,"Blue Mountains","Y"
"271",-33.81555,150.44829,"h","1/02/2020",14.89407421,11951,2782,"Blue Mountains","Y"
"272",-33.81555,150.44829,"h","1/02/2020",13.62071068,17042,2780,"Blue Mountains","Y"
"273",-33.81555,150.44829,"h","1/02/2020",10.82949844,23295,2783,"Blue Mountains","Y"
"274",-33.81555,150.44829,"h","1/02/2020",14.25214631,26562,2782,"Blue Mountains","Y"
"275",-33.80482,150.44652,"h","1/02/2020",13.24796716,5912,2782,"Blue Mountains","Y"
"276",-33.80482,150.44652,"h","1/02/2020",14.9149339,8449,2745,"Wollondilly","Y"
"277",-33.80482,150.44652,"h","1/02/2020",14.52965848,8789,2780,"Blue Mountains","Y"
"278",-33.80482,150.44652,"h","1/02/2020",14.28410867,9658,2780,"Blue Mountains","Y"
"279",-33.80482,150.44652,"h","1/02/2020",11.37558903,10747,2782,"Blue Mountains","Y"
"280",-33.80482,150.44652,"h","1/02/2020",13.76228043,11951,2782,"Blue Mountains","Y"
"281",-33.80482,150.44652,"h","1/02/2020",14.93702475,13137,2780,"Blue Mountains","Y"
"282",-33.80482,150.44652,"h","1/02/2020",12.68431722,17042,2780,"Blue Mountains","Y"
"283",-33.80482,150.44652,"h","1/02/2020",9.624777763,23295,2783,"Blue Mountains","Y"
"284",-33.80482,150.44652,"h","1/02/2020",13.11838624,26562,2782,"Blue Mountains","Y"
"285",-33.80413,150.44231,"h","1/02/2020",12.99333471,5912,2782,"Blue Mountains","Y"
